# t_s,ankle_deg,vF_mV,vE_mV,f_DF_Hz,u_DF,f_PF_Hz,u_PF
0.046650,16.690540,23.177596,23.061451,21.974505,0.152895,0.000000,0.000000
0.046800,16.707437,23.133044,23.022834,21.908582,0.152437,0.000000,0.000000
0.046950,16.724615,23.088357,22.984038,21.842856,0.151979,0.000000,0.000000
0.047100,16.742099,23.043539,22.945066,21.777327,0.151523,0.000000,0.000000
0.047250,16.759903,22.998591,22.905921,21.711995,0.151069,0.000000,0.000000
0.047400,16.778033,22.953516,22.866604,21.646859,0.150616,0.000000,0.000000
0.047550,16.796481,22.908315,22.827119,21.581919,0.150164,0.000000,0.000000
0.047700,16.815233,22.862990,22.787467,21.517173,0.149713,0.000000,0.000000
0.047850,16.834264,22.817544,22.747651,21.452621,0.149264,0.000000,0.000000
0.048000,16.853546,22.771979,22.707672,21.388264,0.148816,0.000000,0.000000
0.048150,16.873044,22.726297,22.667535,21.324099,0.148370,0.000000,0.000000
0.048300,16.892723,22.680500,22.627239,21.260126,0.147925,0.000000,0.000000
0.048450,16.912542,22.634590,22.586789,21.196346,0.147481,0.000000,0.000000
0.048600,16.932466,22.588569,22.546185,21.132757,0.147039,0.000000,0.000000
0.048750,16.952456,22.542438,22.505431,21.069359,0.146598,0.000000,0.000000
0.048900,16.972480,22.496201,22.464528,21.006151,0.146158,0.000000,0.000000
0.049050,16.992507,22.449858,22.423479,20.943132,0.145719,0.000000,0.000000
0.049200,17.012513,22.403412,22.382286,20.880303,0.145282,0.000000,0.000000
0.049350,17.032477,22.356865,22.340950,20.817662,0.144846,0.000000,0.000000
0.049500,17.052384,22.310218,22.294132,20.755209,0.144412,0.000000,0.000000
0.049650,17.072225,22.263473,22.242550,20.692943,0.143978,0.000000,0.000000
0.049800,17.091997,22.216633,22.192769,20.630864,0.254658,0.000000,0.000000
0.049950,17.111701,22.169698,22.150978,20.568972,0.253894,0.000000,0.000000
0.050100,17.131347,22.122672,22.109067,20.507265,0.253132,0.000000,0.000000
0.050250,17.150955,22.075555,22.067026,20.445743,0.363484,0.000000,0.000000
0.050400,17.170547,22.028350,22.024857,20.384406,0.362393,0.000000,0.000000
0.050550,17.190154,21.981057,21.982562,20.323253,0.361306,0.000000,0.000000
0.050700,17.209811,21.933680,21.940143,20.262283,0.360222,0.000000,0.000000
0.050850,17.229556,21.886219,21.897601,20.201496,0.359142,0.000000,0.000000
0.051000,17.249429,21.838677,21.854940,20.140892,0.358064,0.000000,0.000000
0.051150,17.269469,21.791055,21.812160,20.080469,0.356990,0.000000,0.000000
0.051300,17.289715,21.743354,21.769263,20.020228,0.355919,0.000000,0.000000
0.051450,17.310201,21.695577,21.726252,19.960167,0.354851,0.000000,0.000000
