# kaynak veri/kopru/capraz_kontrol.npz; CSV 1/10 seyreltildi, PNG tam cozunurlukten cizildi; voltaj maks fark 0 mV
# dogrulama_capraz.png kaynak verisi
t_ms,v_hoc,v_py,fark_mV
110.75,-65.7117,-65.7117,0
111,-65.7076,-65.7076,0
111.25,-65.7036,-65.7036,0
111.5,-65.6995,-65.6995,0
111.75,-65.6955,-65.6955,0
112,-65.6915,-65.6915,0
112.25,-65.6875,-65.6875,0
112.5,-65.6835,-65.6835,0
112.75,-65.6796,-65.6796,0
113,-65.6756,-65.6756,0
113.25,-65.6717,-65.6717,0
113.5,-65.6678,-65.6678,0
113.75,-65.6638,-65.6638,0
114,-65.6599,-65.6599,0
114.25,-65.6561,-65.6561,0
114.5,-65.6522,-65.6522,0
114.75,-65.6483,-65.6483,0
115,-65.6445,-65.6445,0
115.25,-65.6406,-65.6406,0
115.5,-65.6368,-65.6368,0
115.75,-65.633,-65.633,0
116,-65.6292,-65.6292,0
116.25,-65.6254,-65.6254,0
116.5,-65.6217,-65.6217,0
116.75,-65.6179,-65.6179,0
117,-65.6142,-65.6142,0
117.25,-65.6104,-65.6104,0
117.5,-65.6067,-65.6067,0
117.75,-65.603,-65.603,0
118,-65.5993,-65.5993,0
118.25,-65.5956,-65.5956,0
118.5,-65.5919,-65.5919,0
118.75,-65.5883,-65.5883,0
119,-65.5846,-65.5846,0
119.25,-65.581,-65.581,0
119.5,-65.5774,-65.5774,0
119.75,-65.5738,-65.5738,0
120,-65.5702,-65.5702,0
120.25,-65.5666,-65.5666,0
120.5,-65.563,-65.563,0
120.75,-65.5594,-65.5594,0
121,-65.5559,-65.5559,0
121.25,-65.5523,-65.5523,0
121.5,-65.5488,-65.5488,0
121.75,-65.5452,-65.5452,0
122,-65.5417,-65.5417,0
122.25,-65.5382,-65.5382,0
122.5,-65.5347,-65.5347,0
122.75,-65.5312,-65.5312,0
123,-65.5278,-65.5278,0
123.25,-65.5243,-65.5243,0
123.5,-65.5209,-65.5209,0
123.75,-65.5174,-65.5174,0
