# OpenSim computeMomentArm, model/rat_hindlimb_faz1a.osim, poz cl_grid3d FIX (kalca 39.94 derece); panel b sarma kumesi bosaltilarak olculdu
# dogrulama_momentkolu.png kaynak verisi
panel,x_derece,kas,r_mm
a_diz_suprusu,-117.542,Pop,-1.5707
a_diz_suprusu,-116.441,RF,3.7383
a_diz_suprusu,-116.441,VL,3.7540
a_diz_suprusu,-116.441,VI,3.7525
a_diz_suprusu,-116.441,VM,3.7421
a_diz_suprusu,-116.441,SM,-3.7299
a_diz_suprusu,-116.441,STa,-15.3002
a_diz_suprusu,-116.441,STp,-14.6956
a_diz_suprusu,-116.441,BFp,-13.6691
a_diz_suprusu,-116.441,GP,-12.2250
a_diz_suprusu,-116.441,GA,-9.2602
a_diz_suprusu,-116.441,Pla,-4.1325
a_diz_suprusu,-116.441,MG,-3.4453
a_diz_suprusu,-116.441,LG,-3.1001
a_diz_suprusu,-116.441,Pop,-1.5630
a_diz_suprusu,-115.339,RF,3.7435
a_diz_suprusu,-115.339,VL,3.7538
a_diz_suprusu,-115.339,VI,3.7532
a_diz_suprusu,-115.339,VM,3.7464
a_diz_suprusu,-115.339,SM,-3.6914
a_diz_suprusu,-115.339,STa,-15.2520
a_diz_suprusu,-115.339,STp,-14.6132
a_diz_suprusu,-115.339,BFp,-13.6381
a_diz_suprusu,-115.339,GP,-12.1903
a_diz_suprusu,-115.339,GA,-9.2213
a_diz_suprusu,-115.339,Pla,-4.1313
a_diz_suprusu,-115.339,MG,-3.4474
a_diz_suprusu,-115.339,LG,-3.1059
a_diz_suprusu,-115.339,Pop,-1.5544
a_diz_suprusu,-114.237,RF,3.7453
a_diz_suprusu,-114.237,VL,3.7498
a_diz_suprusu,-114.237,VI,3.7502
a_diz_suprusu,-114.237,VM,3.7473
a_diz_suprusu,-114.237,SM,-3.6555
a_diz_suprusu,-114.237,STa,-15.2044
a_diz_suprusu,-114.237,STp,-14.5323
a_diz_suprusu,-114.237,BFp,-13.6067
a_diz_suprusu,-114.237,GP,-12.1555
a_diz_suprusu,-114.237,GA,-9.1836
a_diz_suprusu,-114.237,Pla,-4.1296
a_diz_suprusu,-114.237,MG,-3.4493
a_diz_suprusu,-114.237,LG,-3.1113
a_diz_suprusu,-114.237,Pop,-1.5446
a_diz_suprusu,-113.136,RF,3.7439
a_diz_suprusu,-113.136,VL,3.7419
a_diz_suprusu,-113.136,VI,3.7434
a_diz_suprusu,-113.136,VM,3.7447
a_diz_suprusu,-113.136,SM,-3.6226
a_diz_suprusu,-113.136,STa,-15.1575
a_diz_suprusu,-113.136,STp,-14.4531
a_diz_suprusu,-113.136,BFp,-13.5750
a_diz_suprusu,-113.136,GP,-12.1209
a_diz_suprusu,-113.136,GA,-9.1473
a_diz_suprusu,-113.136,Pla,-4.1274
a_diz_suprusu,-113.136,MG,-3.4509
a_diz_suprusu,-113.136,LG,-3.1165
a_diz_suprusu,-113.136,Pop,-1.5335
a_diz_suprusu,-112.034,RF,3.7393
a_diz_suprusu,-112.034,VL,3.7303
a_diz_suprusu,-112.034,VI,3.7330
a_diz_suprusu,-112.034,VM,3.7389
a_diz_suprusu,-112.034,SM,-3.5927
a_diz_suprusu,-112.034,STa,-15.1116
a_diz_suprusu,-112.034,STp,-14.3756
a_diz_suprusu,-112.034,BFp,-13.5431
a_diz_suprusu,-112.034,GP,-12.0867
a_diz_suprusu,-112.034,GA,-9.1127
a_diz_suprusu,-112.034,Pla,-4.1247
a_diz_suprusu,-112.034,MG,-3.4523
a_diz_suprusu,-112.034,LG,-3.1215
a_diz_suprusu,-112.034,Pop,-1.5209
