# u(t) swing v2 — faz1a + smooth .mot; ID(15Hz, kas haric) + SO(min Σa², rijit tendon, fV(vm) Thelen a=1 kapali-form, 7 DOF kisit, rezerv W=1e6; max|rezerv| 0.013 N·mm)
gait_pct,BFa,BFp,CF,STp,STa,SM,QF,TFL,GMa,GMe,GMi,Pir,GP,GA,AL,AM,AB,Pec,IP,OE,OI,GS,GI,RF,VL,VI,VM,MG,LG,Pla,Sol,TA,EDL,TP,FDL,FHL,Per,Pop
78.0,0.05532,0.00219,0.00000,0.01175,0.00000,0.00000,0.00000,0.00596,0.04249,0.00634,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.06538,0.02417,0.00000,0.00000,0.00000,0.02291,0.00000,0.00000,0.00000,0.00000,0.00000,0.00053,0.00000,0.01284,0.00272,0.00000,0.00934,0.00000,0.00238,0.01211
78.5,0.05602,0.00208,0.00000,0.01170,0.00000,0.00000,0.00000,0.00594,0.04308,0.00584,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.06486,0.02346,0.00000,0.00000,0.00000,0.02147,0.00000,0.00000,0.00000,0.00000,0.00000,0.00002,0.00000,0.01244,0.00254,0.00000,0.01014,0.00003,0.00218,0.01191
79.0,0.05646,0.00193,0.00048,0.01158,0.00000,0.00000,0.00000,0.00589,0.04354,0.00527,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.06404,0.02260,0.00000,0.00000,0.00000,0.02000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01306,0.00176,0.00000,0.01208,0.00011,0.00214,0.01164
79.5,0.05670,0.00181,0.00137,0.01142,0.00000,0.00000,0.00000,0.00581,0.04395,0.00482,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.06298,0.02181,0.00000,0.00000,0.00000,0.01853,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01364,0.00050,0.00000,0.01456,0.00021,0.00214,0.01132
80.0,0.05674,0.00169,0.00187,0.01121,0.00000,0.00000,0.00000,0.00573,0.04425,0.00428,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.06181,0.02088,0.00000,0.00000,0.00000,0.01708,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01370,0.00000,0.00000,0.01749,0.00032,0.00197,0.01097
80.5,0.05668,0.00159,0.00230,0.01099,0.00000,0.00000,0.00000,0.00563,0.04452,0.00364,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.06065,0.01984,0.00009,0.00000,0.00000,0.01570,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01417,0.00000,0.00000,0.02045,0.00040,0.00192,0.01060
81.0,0.05677,0.00153,0.00271,0.01077,0.00000,0.00000,0.00000,0.00553,0.04497,0.00288,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.05948,0.01872,0.00028,0.00000,0.00000,0.01446,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01482,0.00000,0.00000,0.02340,0.00047,0.00194,0.01024
81.5,0.05666,0.00148,0.00307,0.01051,0.00000,0.00000,0.00000,0.00541,0.04530,0.00209,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.05817,0.01753,0.00046,0.00000,0.00000,0.01326,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01550,0.00000,0.00000,0.02631,0.00054,0.00196,0.00984
82.0,0.05638,0.00146,0.00331,0.01021,0.00000,0.00000,0.00000,0.00527,0.04555,0.00128,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.05672,0.01629,0.00063,0.00000,0.00000,0.01212,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01615,0.00000,0.00000,0.02912,0.00060,0.00200,0.00942
82.5,0.05603,0.00145,0.00354,0.00989,0.00000,0.00000,0.00000,0.00512,0.04581,0.00047,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.05516,0.01503,0.00083,0.00000,0.00000,0.01105,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01675,0.00000,0.00000,0.03180,0.00065,0.00203,0.00899
83.0,0.05569,0.00149,0.00410,0.00948,0.00000,0.00000,0.00000,0.00483,0.04578,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.05322,0.01445,0.00123,0.00000,0.00000,0.01017,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01726,0.00000,0.00000,0.03430,0.00070,0.00205,0.00851
